ID,Name,Concepticon_ID,Concepticon_Gloss,Portuguese_Gloss,German_Gloss
159_townorvillage,town or village,3609,TOWN OR VILLAGE,cidade pequena ou vila,"Dorf, Heimat"
160_home,home,2406,HOME,lar,Heimat
161_yourhome,your home,,,seu lar,deine Heimat
162_house,house,1252,HOUSE,casa,Haus
163_entrance,entrance,,,entrada,Eingang
164_exit,exit,,,saída,Ausgang
165_trapdoor,trapdoor,,,alçapão,Falltür
166_buttressposts,buttress posts,,,contraforte,Strebepfosten
167_wallofhouse,wall (of house),933,WALL (OF HOUSE),parede,Wand
168_horizontalbattensthatholdthepaxiubabattensofthewalltogetherinthemiddle,horizontal battens that hold the paxiúba battens of the wall together in the middle,,,sarrafos horizontais que sustentam os sarrafos de paxiúba da parede juntos no meio,"Horizontallatten, die die Paxiúbalatten der Wand in der Mitte zusammenhalten"
169_beamsthatsitonthepaxiubabattensonthewallandsupporttheroof,beams that sit on the paxiúba battens on the wall and support the roof,,,barras que ficam em cima dos sarrafos de paxiúba na parede e sustentam o telhado,"Balken, die auf den Paxiúbalatten der Wand aufsitzen und das Dach tragen"
170_slopingrafters,sloping rafters,,,caibros inclinados,Schräge Dachsparren
171_roofcladdingmadefromleavesofthecaranapalmtree,roof cladding made from leaves of the caraná palm tree,,,revestimento do telhado feito de folhas de caraná,Dachbekleidung aus Blättern der Caraná Palme
172_horizontalbarrierstowhichthesecaranaleavesareattached,horizontal barriers to which these caraná leaves are attached,,,barreiras horizontais onde essas folhas de caraná são conectadas,"Horizontalsperren, an denen diese Caraná Blätter befestigt sind"
173_chimney,chimney,1305,CHIMNEY,chaminé,Rauchfang
174_planting,planting,,,plantio,Pflanzung
175_torch,torch,1919,TORCH,tocha,Fackel
176_yeast,yeast,967,YEAST,levedura,Hefen
177_storageplaceinforestlgmitasaua,storage place in forest (l. g .. mitasáua),,,local para armazenar coisas na floresta,Lagerplatz in Walde (l. g.. mitasáua)
178_scaffoldinginthehousetoputthingsonorhangon,scaffolding in the house to put things on or hang on,,,plataforma na casa para colocar ou pendurar coisas,"Gerüst im Haus, um Sachen darauf zu legen oder daran zu hängen"
179_stool,stool,2058,STOOL,banco,Sitzschemel
180_curauafiber,curauá fiber,,,fibra de carauá,Curauáfasern
181_hammock,hammock,2019,HAMMOCK,rede,Hängmatte
182_cottonhammock,cotton hammock,,,rede de algodão,Hängematte aus Baumwolle
183_hammockropes,hammock ropes,,,corda da rede,Hängemattenstricke
184_cotton,cotton,1850,COTTON,algodão,Baumwolle
185_cloth,cloth,1616,CLOTH,tecido,Tuch
186_carryingbasketofwomen,carrying basket of women,,,cesto de carga para mulheres,Tragkorb der Weiber
187_menscarryingbaskettogetcocaleaves,men's carrying basket to get coca leaves,,,cesto de carga para homens coletarem folhas de coca,Tragbkorb der Männer um Coca-Blätter zu holen
188_hangingbasket,hanging basket,,,cesto para pendrar,Hangkörbchen
189_flatbasketformaniocbreadetc,flat basket for manioc bread etc.,,,cesto plano para beiju etc.,Flacher Korb für Mandiocafladen (Beijús) usw.
190_largeflatfinemaniocstrainer,large flat fine manioc strainer,,,"coador grande, plano e fino para mandioca","Großes, flaches, feines, Mandiocasieb"
191_largeflatcoarsermaniocstrainer,large flat coarser manioc strainer,,,"coador grande, plano e rústico para mandioca","Großes, flaches, gröberes Mandiocasieb"
192_flatcoarserbasketforstoringfruitsbulbsetc,"flat coarser basket for storing fruits, bulbs etc.",,,"cesto plano e rústico para armezenar frutas, bulbos etc.","Flacher, grober Korb zum Aufbewahren von Füchten, Knollen usw."
193_deepbasketforstoringfarinhamaniocflour,deep basket for storing farinha (manioc flour),,,cesto fundo para armazenar farinha de mandioca,Tiefer Korb zum Aufbewahren von Farinha (Mandiocamehl)
194_cylindermadeoftreebarkforstoringmaniocdough,cylinder made of tree bark for storing manioc dough,,,cilindro feito de casca de árvore para armezenar massa de mandioca,Zylinder aus Baumrinde zum Aufbewahren von Mandiocamasse
195_smallroundveryfinesievetosievecocapowder,small round very fine sieve to sieve coca powder,,,"peneira pequena, redonda e bem fina para pó de coca","Kleines, runder, sehr feines Sieb, um Cocapulver zu sieben."
196_matforcoveringvessels,mat for covering vessels,,,tapete para cobrir os recipientes,Matte zum Zudecken von Gefäßen
197_braidedtubetipitiforsqueezingthemaniocdough,braided tube (tipiti) for squeezing the manioc dough,,,tubo transado (tipiti) para espremer a massa da mandioca,Geflochtener Schlauch (tipiti) zum Auspressen der Mandiocamasse
198_squaremenstucumcordbagforsmallitems,square men's tucum cord bag for small items,,,saco quadrado  masculino de cordão de tucum para itens pequenos,Viereckige Tasche der Männer aus Tucumschnüren für Kleinkram
199_knittingframetomanufacturethesebags,knitting frame to manufacture these bags,,,moldura de tricô para fazer esses sacos,Strickrahmen z. Verfertigen dieser Taschen
200_firefans,fire fans,,,abano,Feuerfächer
201_calabash,calabash,3918,CALABASH,cabaça,Kalabasse
202_bigcalabash,big calabash,,,cabaça grande,große Kalabasse
203_smallcalabashforscooping,small calabash for scooping,,,cabaça pequena para escavar,kleine Kalabasse zum Schöpfen
204_cookingpot,cooking pot,3653,COOKING POT,panela,Kochtopf
205_ironsaucepan,iron saucepan,,,panela de ferro,Eiserner Kochtopf
206_largekashiripot,large kashiri pot,,,jarro grande para caxiri,Großer Kaschiritopf
207_deepbowlinwhichyoucanfermentthemanioc,deep bowl in which you can ferment the manioc,,,tigela funda para fermentar a mandioca,"Tiefe Topfschale, in der man Mandiocamasse gären läßt"
208_largeflattersaucepanformanicueraboiledmaniocjuice,large flatter saucepan for manicuéra (boiled manioc juice),,,panela grande mais plana para manicuera,"Große, flachere Topfschale für Manicuéra (abgekochten Mandiocasaft)"
209_clayvesselforthedrink,clay vessel for the drink,,,recipiente de argila para bebidas,Tongefäß für das Getränk
210_waterpotwithtwohandles,water pot with two handles,,,jarro de água com duas alças,Wassertopf mit zwei Henkein
211_claybowl,clay bowl,2055,CLAY POT,tigela de argila,Tonschale
212_bowlforcoca,bowl for coca,,,tigela para coca,Schale für Coca
213_claybowlwithlegashandle,clay bowl with leg as handle,,,tigela de argila com uma asa de pé,Tonschale mit Fuß als Handgriff
214_clay,clay,1399,CLAY,argila,Töpferton
215_hourglassshapedframemadeofsticksforvessels,hourglass-shaped frame made of sticks for vessels,,,moldura com formato de ampulheta feita de gravetos para recipientes,Sanduhrförmiges Gestell aus Stäbchen für Gefäße
216_mortar,mortar,224,MORTAR,pilão,Mörser
217_pestle,pestle,225,PESTLE,socador (do pilão),Stössel
218_stovetop,stove top,,,"chapa, forno para beiju",Herdplatte
219_earthenware,earthenware,,,louça de barro,Tönerne
220_gridiron,gridiron,,,grelha,Bratrost
221_maniocgrater,manioc grater,,,"ralador de mandioca, ralo de mandioca",Mandiocareibebrett
222_woodencylinderinwhichcocaistapped,wooden cylinder in which coca is tapped,,,cilindro de madeira onde a coca é macerada,"Holzzylinder, in dem Coca geklopft wird"
223_cocahammer,coca hammer,,,martelo para coca,Cocaklopfer
224_raffiabagsforcoca,raffia bags for coca,,,sacos de ráfia para coca,Bastsäckchen für Coca
225_hollowbirdbonesforsuckingcoca,hollow bird bones for sucking coca,,,ossos ocos de ave para sugar coca,"Hohler Vogelknochen, um Coca zu saugen"
226_calabashwithlidasacocacontainer,calabash with lid as a coca container,,,cabaça com tampa para ser um conteiner de coca,Kalabasse mit Deckel als Cocabehälter
227_woodenlidforthiscalabash,wooden lid for this calabash,,,tampa de madeira para essa cabaça,Holzdeckel zu dieser Kalabasse
228_bonespoonusedtotakecoca,bone spoon used to take coca,,,colher de osso para pegar coca,"Knochenlöffel, mit dem Coca genommen wird"
229_axe,axe,677,AXE,machado,Beil
230_stoneaxe,stone axe,,,machado de pedra,Steinbeil
231_knife,knife,1352,KNIFE,faca,Messer
232_forestknife,forest knife,,,faca de sobrevivência,Waldmesser
233_canoe,canoe,1970,CANOE,canoa,Einbaum
234_rudder,rudder,108,RUDDER,leme,Ruder
235_gridontheboatforprotectionagainstbackflow,grid on the boat for protection against backflow,,,grade de rede no barco para proteção contra o refluxo,Lattengitter im Boot Schutzgegen das Kielwasser
236_suncanopytoldaovertheboat,sun canopy (tolda) over the boat,,,tolda do barco,Sonnendach (tolda) über dem Boot
237_bow,bow,994,BOW,arco,Bogen
238_bowstring,bowstring,2119,BOW STRING,corda do arco,Bogensehne
239_arrow,arrow,977,ARROW,flecha,Pfeil
240_largepoisonedarrowsforhighhunting,large poisoned arrows for high hunting,,,flechas grandes envenedadas para caçar,Große vergiftete Pfeile für Hochjagd
241_caseforthetipsofthesepoisonarrows,case for the tips of these poison arrows,,,estojo para as pontas dessas flechas envenenadas,Futteral für die Spitzen dieser Giftpfeile
242_fisharrowwithdoubleironpoint,fish arrow with double iron point,,,flecha para peixe com ponta dupla de ferro,Fischpfeil mit doppelter Eisenspitze
243_harpoonarrow,harpoon arrow,,,flecha de arpão,Harpunenpfeil
244_ironharpoonofthisarrow,iron harpoon of this arrow,,,arpão de ferro dessa flecha,Eiserne Harpune dieses Pfeils
245_tipoftheharpoon,tip of the harpoon,,,ponta do arpão,Spitze der Harpune
246_barbofthetip,barb of the tip,,,farpa da ponta,Widerhaken der Spitze
247_wraparoundthetop,wrap around the top,,,invólucro envolta da ponta,Umwicklung der Spitze
248_woodenstickintowhichtheharpoonisinserted,wooden stick into which the harpoon is inserted,,,graveto de madeira onde o arpão é inserido,"Holzastab, in den die Harpune gestecket wird"
249_pipeshaftoftheharpoonarrow,pipe shaft of the harpoon arrow,,,tubo da flecha do arpão,Rohrschaft des Harpunenpfeils
250_handendofthetubularshaft,hand end of the tubular shaft,,,final do tubo,Handende des Rohrschaftes
251_harpoonstring,harpoon string,,,corda do arpão,Schnur der Harpune
252_pitchresin,pitch (resin),,,piche,Pech
253_club,club,1763,CLUB,clava,Keule
254_stringoftheclub,string of the club,,,corda da clava,Schnur der Keule
255_blowgun,blowgun,432,BLOWGUN,zarabatana,Blasrohr
256_blowgunarrow,blowgun arrow,,,flecha para zarabatana,Blasrohrpfeilchen
257_mouthpieceoftheblowgun,mouthpiece of the blowgun,,,bocal da zarabatana,Mundstück des Blasrohres
258_quiverforthepoisonarrows,quiver for the poison arrows,,,aljava de flechas envenenadas,Köcher für die Giftpfeilchen
259_poisonfordart,poison for dart,,,veneno para o dardo,Pfeilgift
260_treesilksamaumatowraparroundtheblowgundarts,tree silk (samaúma) to wrap arround the blowgun darts,,,tecido de samaúma para enrolar os dardos da zarabatana,Baumseide (Samaúma) zum Umwickeln der Blasrohrpfeilchen
261_poisonlancespear,poison lance (spear),,,lança envenenada,Giftlanze
262_caseforthetipsofthepoisonlancesspears,case for the tips of the poison lances (spears),,,caixa para as pontas envenenadas das lanças,Futteral für die Spitzen der Giftlanzen
263_pointofthepoisonlancespear,point of the poison lance (spear),,,ponta da lança envenenada,Spitze der Giftlanze
264_shield,shield,1064,SHIELD,escudo,Schild
265_warshield,war shield,,,escudo de guerra,Kriegsschild
266_fishnet,fishnet,388,FISHNET,rede de pesca,Fischnetz
267_bigtrap,big trap,,,armadilha grande,Große Reuse
268_smalltrap,small trap,,,armadilha pequena,Kleine Reuse
269_fishtrap,fish trap,389,FISH TRAP,armadilha para peixe,Fischfalle
270_fishingrod,fishing rod,,,vara de pesca,Angel
271_fishingline,fishing line,19,FISHING LINE,linha de pesca,Angelschnur
272_gun,gun,1566,GUN,arma de fogo,Gewehr
273_gunpowder,gunpowder,1798,GUNPOWDER,pólvora,Pulver
274_shot,shot,,,tiro,Schrot
275_hipcord,hip cord,,,cordão da cintura,Hüftschnur
276_mansloincloth,man's loincloth,,,tanga masculina,Schambinde des Mannes
277_womansloincloth,woman's loincloth,,,tanga feminina,Schamschurz der Frau
278_wideraffiabeltmenscostume,wide raffia belt (men's costume),,,cinto largo de ráfia (traje masculino),Breiter Bastgürtel (Tracht der Männer)
279_braceletsmadeofraffiamenscostume,bracelets made of raffia (men's costume),,,braceletes feitos de ráfia (traje masculino),Armbänder aus Bast (Tracht der Männer)
280_softerstripsofraffiatotiebeltsandbracelets,softer strips of raffia to tie belts and bracelets,,,pedaços mais maleáveis de ráfia para amarrar cintos e braceletes,"Weichere Baststreifen, um Gürtel und Armbänder festzubinden"
281_malebraid,male braid,,,trança masculina,Männerzopf
282_raffiawraparoundthebraid,raffia wrap around the braid,,,ráfia enrolada em torno da trança,Bastumwicklung des Zopfes
283_mirror,mirror,1171,MIRROR,espelho,Spiegel
284_needleforsewing,needle (for sewing),1382,NEEDLE (FOR SEWING),agulha,Nadel
285_earring,earring,770,EARRING,brinco,Ohrring
286_pearl,pearl,3325,PEARL,pérola,Perlen
287_boxorchest,box or chest,3150,BOX OR CHEST,caixa ou baú,Koffer
288_comb,comb,1475,COMB,pente,Kamm
289_fineheadfeathersgalajewelerylinguageralkangataramahapoalimacawfeathers,"fine head feathers, gala jewelery (língua geral: kangatára) mahápoali (macaw feathers)",,,"cocar, indumentária (língua geral: kangatára) mahápoali (Ararafedern)","Feine Kopffederbinde, Galaschmuck (lingoa geral: kangatára) mahápoali (Ararafedern)"
290_headdressmadeoftoucanfeathersinstrawheadband,headdress made of toucan feathers in straw headband,,,cocar feito com penas de tucano em uma faixa de palha para a cabeça,Kopfputz aus Tukanfederchen in Strohreif
291_strawheadbandforthisjewelry,straw headband for this jewelry,,,faixa de palha para a cabeça dessa joia,Strohreif zu diesem Schmuck
292_dancedevicethatrepresentsafishtrapandiswornonthebraid,dance device that represents a fish trap and is worn on the braid,,,dispositivo de dança que representa uma armadilha de peixe e é usado na trança,"Tanzgerät, das eine Fischreuse darstellt und am Zopf getragen wird"
293_macawtailfeatherthatiswornonthisdancedevice,macaw tail feather that is worn on this dance device,,,pena da cauda da arara que é usada nesse dispositivo de dança,"Araraschwanzfeder, die an diesem Tanzgerät getragen wird"
294_longnosepiercingmadeofsmoothedpalmwood,long nose piercing made of smoothed palm wood,,,piercing de nariz longo feito de madeira de palmeira polida,Langer Nasenstab aus geglättetem Palmholz
295_carvedtucumafruitpeelbracelet,carved tucumá fruit peel bracelet,,,bracelete curvado de pele da fruta tucumá,Armband aus geschnitzten Tucumáfruchtschalen
296_kneebandwovenfromcurauafibers,knee band woven from curauá fibers,,,faixa para o joelho de fibra de tucumá,Kniebänder aus Curauáfasern gewebt
297_quartzcylindermensbreastjewelry,"quartz cylinder, men's breast jewelry",,,"cilindro de quartzo, jóia maculina para os peitos","Quarzzylinder, Brustschmuck der Männer"
298_blackseedsthatarealwaysassociatedwiththisquartzjewelry,black seeds that are always associated with this quartz jewelry,,,sementes pretas que são sempre associadas a esse cilindro de quartzo,"Schwarze Samen, die stets mit diesem Quarzschmuck verbunden sind"
299_necklacemadefromblackcocoons,necklace made from black cocoons,,,colar feito de casulos pretos,Halskette aus schwarzen Cocons
300_necklacemadefromgraygrassseedsstamariacapim,necklace made from gray grass seeds (Sta. Maria Capim),,,colar feito de sementes de erva-de-santa-maria,Halskette aus grauen Grassamen (Sta. Maria Capim)
301_cerimonialmasksuit,cerimonial mask suit,,,traje com máscara para cerimônias,Tanzmaskenanzug
302_raffiajacketofthemasksuit,raffia jacket of the mask suit,,,jaqueta de ráfia para o traje com máscara,Bastjacke des Maskenanzuges
303_raffiahangingofthemasksuit,raffia hanging of the mask suit,,,fios de ráfia pendentes do traje,Bastbehang des Maskenanzuges
304_facecovermadeofraffia,face cover made of raffia,,,cobertura para o resto feito de ráfia,Gesichtsüberzug aus Bast
305_woodenheadpieceofthemasksuit,wooden headpiece of the mask suit,,,chapéu de madeira do taje,Hölzerner Kopfaufsatz des Maskenanzuges
306_earsonthisheadpiece,ears on this headpiece,,,orelhas nesse chapéu,Ohren an diesem Kopfaufsatz
307_whitedownfeathersonthoseears,white down feathers on those ears,,,penas brancas nessas orelhas,Weiße Flaumfedern an diesen Ohren
308_edgepaintingoftheheadpiece,edge painting of the headpiece,,,pintura nos cantos desse chapéu,Randbemalung des Kofaufsatzes
309_braidofthemasksuit,braid of the mask suit,,,trança da máscara do taje,Zopf des Maskenanzuges
310_dancerattlepumpkinrattle,dance rattle (pumpkin rattle),,,chocalho de dança (chocalho de abóbora),Tanzrassel (Kürbisrassel)
311_dancerattlesfromhalvedfruitpodswhicharewornaroundtheankle,"dance rattles from halved fruit pods, which are worn around the ankle",,,"chocalhos de dança de cascas de fruta cortadas ao meio, os quais são usados em torno do tornozelo","Tanzklappern aus halbierten Fruchtschalen, die um den Fußköchel getragen werden"
312_dancepolemadeofhollowedambauvawood,dance pole made of hollowed ambaúva wood,,,poste de dança feito de madeira oca de Ambaúva,Tanzstab aus ausgehöhltem Ambaúvaholz
313_handleofthedancerattle,handle of the dance rattle,,,cabo do chocalho de dança,Stiel der Tanzrassel
314_slotofthedancerattle,slot of the dance rattle,,,buraco do chocalho de dança,Schlitz der Tanzrassel
315_incisedpatternonthedancerattle,incised pattern on the dance rattle,,,padrão entalhado no chocalho de dança,Ritzmuster auf der Tanzrassel
316_ordinaryflutemadeofpipe,ordinary flute made of pipe,,,flauta comum feita de tubo,Gewöhnliche Flötenpfeife aus Rohr
317_panpipe,panpipe,,,flauta de pã,Panpeife
318_woodenhorn,wooden horn,,,corneta de madeira,Hölzerne Signaltute
319_signalhornmadeoutofclay,signal horn made out of clay,,,corneta feita de argila,Signaltute aus Ton
320_bigsignaldrum,big signal drum,,,tambor grande de sinal,Große Signaltrommel
321_danceincirclessinging,"dance (in circles), singing",,,"dança (em círculos), cantando","Rundtanz, Gesang"
322_yuruparydancefestival,Yuruparý dance festival,,,vestival de dança Jurupari,Yuruparý-Tanzfest
323_letsdance,let's dance!,,,vamos dançar!,laßt uns tanzen!
324_yuruparywhip,yuruparý whip,,,chicote Jurupari,Yuruparý-Peitsche
325_smallflutepipe,small flute pipe,,,flauta de pã pequena,Kleine Flötenpfeife
326_largerflutepipe,larger flute pipe,,,flauta de pã maior,Größere Flötenpfeife
327_bigflutepipe,big flute pipe,,,flauta de pã grande,Große Flötenpfeife
328_verylargeflutepipe,very large flute pipe,,,flauta de pã muito grande,Sehr große Flötenpfeife
329_coneshapedinstrumentthatisquottootedquotlikeahorn,cone-shaped instrument that is &quot;tooted&quot; (like a horn),,,instrumento musical em forma de cone,Tute
